Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Keltische,Keltische,ADJ
Knochen,Knochen,VERB
Festgeregnet,Festgeregnet,NOUN
!,--,PUNCT
…,--,PUNCT
Wem,Wem,PROPN
und,und,CCONJ
Welcher,Welcher,NOUN
steigt,steigen,VERB
nicht,nicht,PART
bei,bei,ADP
diesem,dieser,DET
Worte,Wort,NOUN
eine,ein,PRON
gespenstische,gespenstisch,ADJ
Erinnerung,Erinnerung,NOUN
in,in,ADP
der,der,DET
Seele,Seele,NOUN
auf,auf,ADP
?,--,PUNCT
eine,ein,DET
Erinnerung,Erinnerung,NOUN
an,an,ADP
eine,ein,DET
Stunde,Stunde,NOUN
–,--,PUNCT
zwei,zwei,NUM
Stunden,Stunde,NOUN
–,--,PUNCT
einen,ein,DET
Tag,Tag,NOUN
–,--,PUNCT
zwei,zwei,NUM
",",--,PUNCT
drei,drei,NUM
",",--,PUNCT
vier,vier,NUM
–,--,PUNCT
acht,acht,NUM
Tage,Tag,NOUN
",",--,PUNCT
wo,wo,SCONJ
sie,sie,PRON
ebenfalls,ebenfalls,ADV
festgeregnet,festgeregnen,VERB
waren,sein,AUX
–,--,PUNCT
festgeregnet,festgeregnen,VERB
an,an,ADP
einer,ein,DET
Straßenecke,Straßenecke,NOUN
",",--,PUNCT
unter,unter,ADP
einem,ein,DET
Thorwege,Thorwege,NOUN
",",--,PUNCT
bei,bei,ADP
einem,ein,DET
Freunde,Freund,NOUN
oder,oder,CCONJ
einer,ein,DET
Freundin,Freundin,NOUN
",",--,PUNCT
in,in,ADP
einer,ein,DET
Dorfkneipe,Dorfkneipe,NOUN
",",--,PUNCT
auf,auf,ADP
dem,der,DET
Brocken,Brocken,NOUN
",",--,PUNCT
dem,der,DET
Inselsberge,Inselsberge,NOUN
",",--,PUNCT
dem,der,PRON
Rigi,Rigi,NOUN
oder,oder,CCONJ
dem,der,DET
Schafberge,Schafberge,NOUN
?,--,PUNCT
Es,es,PRON
ist,sein,AUX
eine,ein,DET
leidige,leidig,ADJ
Vorstellung,Vorstellung,NOUN
–,--,PUNCT
festgeregnet,festgeregnen,VERB
!,--,PUNCT
Grau,grau,ADV
",",--,PUNCT
greinend,greinend,ADV
und,und,CCONJ
griesgrämlich,griesgrämlich,ADV
kriecht,kriechen,VERB
sie,sie,PRON
heran,heran,ADV
",",--,PUNCT
streckt,strecken,VERB
hundert,hundert,NUM
fröstelndkalte,fröstelndkalen,VERB
",",--,PUNCT
feuchte,feuchen,VERB
Fangarme,Fangarme,NOUN
nach,nach,ADP
dem,der,DET
warmen,warm,ADJ
Herzen,Herz,NOUN
aus,aus,ADP
und,und,CCONJ
ist,sein,AUX
so,so,ADV
schwer,schwer,ADV
los,los,ADV
zu,zu,PART
werden,werden,AUX
",",--,PUNCT
wie,wie,ADP
alles,alle,PRON
andere,anderer,ADJ
Unbehagliche,Unbehagliche,NOUN
",",--,PUNCT
Unbequeme,Unbequem,NOUN
",",--,PUNCT
Ungelegene,ungelegene,NOUN
in,in,ADP
der,der,DET
Welt,Welt,NOUN
.,--,PUNCT
In,in,ADP
Ischl,Ischl,PROPN
spazierten,spazieren,VERB
die,der,DET
schönen,schön,ADJ
Damen,Dame,NOUN
auf,auf,ADP
der,der,DET
Esplanade,Esplanade,NOUN
im,in,ADP
glänzendsten,glänzendsten,ADV
Sonnenschein,Sonnenschein,NOUN
",",--,PUNCT
als,als,SCONJ
wir,wir,PRON
ausfuhren,ausfuhren,VERB
",",--,PUNCT
und,und,CCONJ
sämmtliche,sämmtlich,ADJ
arme,arm,ADJ
Hämorrhoidarier,Hämorrhoidarier,NOUN
",",--,PUNCT
Drüsen-,Drüs,X
und,und,CCONJ
Scrophel-Kranke,Scrophel-Krank,NOUN
hatten,haben,AUX
ihren,ihr,DET
Jammer,Jammer,NOUN
in,in,ADP
die,der,DET
freie,frei,ADJ
Luft,Luft,NOUN
getragen,tragen,VERB
:,--,PUNCT
auch,auch,ADV
die,der,DET
königlich-kaiserliche,königlich-kaiserlich,ADJ
Familie,Familie,NOUN
fuhr,fahren,VERB
spazieren,spazieren,VERB
.,--,PUNCT
In,in,ADP
der,der,DET
Nähe,Nähe,NOUN
von,von,ADP
Laufen,Laufe,NOUN
",",--,PUNCT
im,in,ADP
heiligen,heilig,ADJ
Bezirk,Bezirk,NOUN
der,der,DET
schönen,schön,ADJ
",",--,PUNCT
holdseligsten,holdseligst,ADJ
Maria,Maria,PROPN
im,in,ADP
Schatten,Schatten,NOUN
zog,ziehen,VERB
die,der,DET
allerschönste,allerschönster,ADJ
aber,aber,ADV
auch,auch,ADV
allereigensinnigste,allereigensinnigst,ADJ
Dame,Dame,NOUN
Natur,Natur,NOUN
den,der,PRON
Nebelschleier,Nebelschleier,NOUN
über,über,ADP
das,der,DET
Gesicht,Gesicht,NOUN
",",--,PUNCT
und,und,CCONJ
als,als,SCONJ
wir,wir,PRON
auf,auf,ADP
dem,der,DET
See,See,NOUN
schifften,schifften,VERB
",",--,PUNCT
wurde,werden,AUX
dieser,dieser,PRON
Schleier,Schleier,NOUN
und,und,CCONJ
unsere,unser,DET
Hoffnung,Hoffnung,NOUN
auf,auf,ADP
einen,ein,DET
schönen,schön,ADJ
Tag,Tag,NOUN
vollständig,vollständig,ADV
zu,zu,ADP
Wasser,Wasser,NOUN
.,--,PUNCT
Es,es,PRON
scheint,scheinen,VERB
eben,eben,ADV
in,in,ADP
den,der,DET
angenehmsten,angenehmst,ADJ
Gegenden,Gegenden,NOUN
am,am,PART
liebsten,lieb,ADV
zu,zu,PART
regnen,regnen,VERB
;,--,PUNCT
aber,aber,CCONJ
vielleicht,vielleicht,ADV
war,sein,AUX
auch,auch,ADV
der,der,DET
fromme,fromm,ADJ
Dichter,Dichter,NOUN
",",--,PUNCT
welchen,welcher,PRON
wir,wir,PRON
mit,mit,ADP
uns,uns,PRON
führten,führen,VERB
",",--,PUNCT
und,und,CCONJ
welcher,welcher,DET
jedenfalls,jedenfalls,ADV
unter,unter,ADP
dem,der,DET
Zeichen,Zeichen,NOUN
des,der,DET
Wassermannes,Wassermann,NOUN
geboren,gebären,VERB
war,sein,AUX
",",--,PUNCT
Schuld,Schuld,NOUN
daran,daran,ADV
.,--,PUNCT
Wir,wir,PRON
waren,sein,AUX
