Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Wunnigel,Wunnigel,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Stadt,Stadt,NOUN
liegt,liegen,VERB
–,--,PUNCT
sagen,sagen,VERB
wir,wir,PRON
–,--,PUNCT
ganz,ganz,ADV
genau,genau,ADV
mitten,mitten,ADV
in,in,ADP
Mitteldeutschland,Mitteldeutschland,NOUN
;,--,PUNCT
aber,aber,CCONJ
glücklicherweise,glücklicherweise,ADV
erinnern,erinnern,VERB
wir,wir,PRON
uns,sich,PRON
noch,noch,ADV
gerade,gerade,ADV
zur,zu,ADP
rechten,rechter,ADJ
Zeit,Zeit,NOUN
jenes,jener,DET
Pfaffen,Pfaffe,NOUN
",",--,PUNCT
dem,der,DET
Eulenspiegel,Eulenspiegel,NOUN
nachwies,nachweisen,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
",",--,PUNCT
der,der,DET
geistliche,geistlich,ADJ
Herr,Herr,NOUN
",",--,PUNCT
das,der,DET
Zentrum,Zentrum,NOUN
seiner,sein,DET
Kirche,Kirche,NOUN
keineswegs,keineswegs,ADV
ganz,ganz,ADV
genau,genau,ADV
zu,zu,PART
treffen,treffen,VERB
wisse,wissen,VERB
",",--,PUNCT
und,und,CCONJ
hüten,hüten,VERB
uns,uns,PRON
wohl,wohl,ADV
",",--,PUNCT
eine,ein,DET
Wette,Wette,NOUN
in,in,ADP
betreff,Betreff,PROPN
der,der,DET
absoluten,absolut,ADJ
Richtigkeit,Richtigkeit,NOUN
unserer,unser,DET
geographischen,geographisch,ADJ
Breiten-,Breiten,X
und,und,CCONJ
Längenbestimmung,Längenbestimmung,NOUN
anzubieten,anbieten,VERB
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
aber,aber,ADV
eine,ein,DET
feine,fein,ADJ
",",--,PUNCT
alte,alt,ADJ
",",--,PUNCT
gar,gar,ADV
nicht,nicht,PART
unbedeutende,unbedeutend,ADJ
Stadt,Stadt,NOUN
",",--,PUNCT
und,und,CCONJ
wer,wer,PRON
daselbst,daselbst,ADV
noch,noch,ADV
außerhalb,außerhalb,ADP
dieser,dieser,DET
Geschichte,Geschichte,NOUN
zu,zu,PART
tun,tun,VERB
hat,haben,AUX
",",--,PUNCT
der,der,PRON
findet,finden,VERB
sie,sie,PRON
wohl,wohl,ADV
auch,auch,ADV
ohne,ohne,ADP
Polhöhe-,Polhöhe-,X
und,und,CCONJ
Meridianberechnung,Meridianberechnung,NOUN
mit,mit,ADP
Hülfe,Hülfe,NOUN
der,der,DET
ersten,erster,ADJ
besten,gut,ADJ
Post-,Post,X
und,und,CCONJ
Eisenbahnkarte,Eisenbahnkart,NOUN
",",--,PUNCT
sowie,sowie,CCONJ
eines,ein,DET
Eisenbahnbilletts,Eisenbahnbillett,NOUN
.,--,PUNCT
Ihre,ihr,DET
Bewohner,Bewohner,NOUN
sind,sein,AUX
mit,mit,ADP
Recht,Recht,NOUN
stolz,stolz,ADV
auf,auf,ADP
sie,sie,PRON
und,und,CCONJ
haben,haben,AUX
jedenfalls,jedenfalls,ADV
selber,selber,ADV
Geschmack,Geschmack,NOUN
gezeigt,zeigen,VERB
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
sie,sie,PRON
halb,halb,ADV
in,in,ADP
die,der,DET
Ebene,Ebene,NOUN
und,und,CCONJ
halb,halb,ADV
an,an,ADP
den,der,DET
Berg,Berg,NOUN
hinbauten,hinbauen,VERB
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Berge,Berg,NOUN
liegt,liegen,VERB
das,der,DET
Schloß,Schloß,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,DET
vordem,vordem,ADV
eine,ein,DET
Seitenlinie,Seitenlinie,NOUN
des,der,DET
Herrscherstammes,Herrscherstamm,NOUN
residierte,residieren,VERB
",",--,PUNCT
das,der,PRON
aber,aber,ADV
jetzt,jetzt,ADV
längst,längst,ADV
der,der,DET
Herrscherhauptstamm,Herrscherhauptstamm,NOUN
selber,selber,ADV
wieder,wieder,ADV
an,an,ADP
sich,sich,PRON
genommen,nehmen,VERB
hat,haben,AUX
",",--,PUNCT
um,um,SCONJ
darin,darin,ADV
seine,sein,DET
Autorität,Autorität,NOUN
durch,durch,ADP
eine,ein,DET
erkleckliche,erklecklich,ADJ
Reihe,Reihe,NOUN
von,von,ADP
Provinzialbehörden,Provinzialbehörde,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
immer,immer,ADV
untereinander,untereinander,ADV
auf,auf,ADP
dem,der,DET
besten,gut,ADJ
kollegialischen,kollegialisch,ADJ
Fuße,Fuß,NOUN
leben,leben,VERB
",",--,PUNCT
vertreten,vertreten,VERB
zu,zu,ADP
lassen,lassen,VERB
.,--,PUNCT
Die,der,DET
Stadt,Stadt,NOUN
ist,sein,AUX
",",--,PUNCT
sozusagen,sozusagen,ADV
",",--,PUNCT
verhältnismäßig,verhältnismäßig,ADV
voll,voll,ADV
von,von,ADP
alten,alt,ADJ
Kirchen,Kirche,NOUN
und,und,CCONJ
sonstigen,Sonstige,NOUN
