Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Zum,zu,ADP
wilden,wild,ADJ
Mann,Mann,NOUN
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Sie,sie,PRON
machten,machen,VERB
weit,weit,ADV
und,und,CCONJ
breit,breit,ADV
ihre,ihr,DET
Bemerkungen,Bemerkung,NOUN
über,über,ADP
das,der,DET
Wetter,Wetter,NOUN
",",--,PUNCT
und,und,CCONJ
es,es,PRON
war,sein,AUX
wirklich,wirklich,ADV
ein,ein,DET
Wetter,Wetter,NOUN
",",--,PUNCT
über,über,ADP
das,der,PRON
jedermann,jedermann,PRON
seine,sein,DET
Bemerkungen,Bemerkung,NOUN
laut,laut,ADV
werden,werden,AUX
lassen,lassen,VERB
durfte,dürfen,AUX
",",--,PUNCT
ohne,ohne,SCONJ
Schaden,Schaden,NOUN
an,an,ADP
seiner,sein,DET
Reputation,Reputation,NOUN
zu,zu,PART
leiden,leiden,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ein,ein,DET
dem,der,DET
Anscheine,Anscheine,NOUN
nach,nach,ADP
dem,der,DET
Menschen,Mensch,NOUN
außergewöhnlich,außergewöhnlich,ADV
unfreundlicher,unfreundlich,ADJ
Tag,Tag,NOUN
gegen,gegen,ADP
das,der,DET
Ende,Ende,NOUN
des,der,DET
Oktober,Oktober,NOUN
",",--,PUNCT
der,der,PRON
eben,eben,ADV
in,in,ADP
den,der,DET
Abend,Abend,NOUN
oder,oder,CCONJ
vielmehr,vielmehr,ADV
die,der,DET
Nacht,Nacht,NOUN
überging,überging,ADV
.,--,PUNCT
Weiter,weiter,ADV
hinauf,hinauf,ADV
im,in,ADP
Gebirge,Gebirge,NOUN
war,sein,AUX
schon,schon,ADV
am,an,ADP
Morgen,Morgen,NOUN
ein,ein,DET
gewaltiger,gewaltig,ADJ
Wolkenbruch,Wolkenbruch,NOUN
niedergegangen,niedergehen,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Vorberge,Vorberge,NOUN
hatten,haben,AUX
ebenfalls,ebenfalls,ADV
ihr,ihr,DET
Teil,Teil,NOUN
bekommen,bekommen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
auch,auch,ADV
nicht,nicht,PART
ganz,ganz,ADV
so,so,ADV
arg,arg,ADV
als,als,ADP
Volk,Volk,NOUN
",",--,PUNCT
Vieh,Vieh,PROPN
",",--,PUNCT
Wald,Wald,NOUN
",",--,PUNCT
Fels,Fels,PROPN
",",--,PUNCT
Berg,Berg,PROPN
und,und,CCONJ
Tal,Tal,NOUN
weiter,weiter,ADV
oben,oben,ADV
.,--,PUNCT
Sie,sie,PRON
waren,sein,AUX
unter,unter,ADP
den,der,DET
Vorbergen,Vorberg,NOUN
nordwärts,nordwärts,ADV
vollkommen,vollkommen,ADV
zufrieden,zufrieden,ADV
mit,mit,ADP
dem,der,PRON
",",--,PUNCT
was,wer,PRON
sie,sie,PRON
erhalten,erhalten,VERB
hatten,haben,AUX
",",--,PUNCT
und,und,CCONJ
hätten,haben,AUX
gern,gern,ADV
auf,auf,ADP
alles,aller,DET
Weitere,Weitere,NOUN
verzichtet,verzichten,VERB
",",--,PUNCT
allein,allein,ADV
das,der,DET
Weitere,Weitere,NOUN
und,und,CCONJ
übrige,übrig,ADJ
kam,kommen,VERB
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
hatten,haben,AUX
es,es,PRON
hinzunehmen,hinnehmen,VERB
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
kam,kommen,VERB
.,--,PUNCT
Ihre,ihr,DET
Anmerkungen,Anmerkung,NOUN
durften,dürfen,AUX
sie,sie,PRON
freilich,freilich,ADV
darüber,darüber,ADV
machen,machen,VERB
;,--,PUNCT
niemand,niemand,PRON
hinderte,hinderen,VERB
sie,sie,PRON
.,--,PUNCT
Es,es,PRON
regnete,regnet,VERB
stoßweise,stoßweise,NOUN
in,in,ADP
die,der,DET
nahende,nahend,ADJ
Dunkelheit,Dunkelheit,NOUN
hinein,hinein,ADV
",",--,PUNCT
und,und,CCONJ
stoßweise,stoßweise,ADV
durchgellte,durchgelln,VERB
ein,ein,DET
scharfer,scharf,ADJ
",",--,PUNCT
beißender,beißend,ADJ
Nordwind,Nordwind,NOUN
",",--,PUNCT
ein,ein,DET
geborener,geboren,ADJ
Isländer,Isländ,NOUN
oder,oder,CCONJ
gar,gar,ADV
Spitzbergener,Spitzbergener,NOUN
",",--,PUNCT
aus,aus,ADP
der,der,DET
norddeutschen,norddeutsch,ADJ
Tiefebene,Tiefebene,NOUN
her,her,ADP
die,der,DET
Lüfte,Lüfte,NOUN
",",--,PUNCT
die,der,PRON
Schlöte,Schlöte,NOUN
und,und,CCONJ
die,der,DET
Ohren,Ohr,NOUN
und,und,CCONJ
ärgerte,ärgern,VERB
sich,sich,PRON
sehr,sehr,ADV
an,an,ADP
dem,der,DET
Gebirge,Gebirge,NOUN
",",--,PUNCT
das,der,PRON
er,er,PRON
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
schien,scheinen,VERB
",",--,PUNCT
ganz,ganz,ADV
