Token,Lemma,POS
Trudchens,Trudchen,PROPN
Heirat,Heirat,NOUN
Roman,Roman,NOUN
von,von,ADP
W.,W.,PROPN
Heimburg,Heimburg,PROPN
Vollständige,Vollständige,ADJ
Ausgabe,Ausgabe,NOUN
Schreiter'sche,schreiter'sch,ADJ
Verlagsbuchhandlung,Verlagsbuchhandlung,NOUN
Berlin,Berlin,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
5,5,NUM
»,--,PUNCT
Wahrhaftig,wahrhaftig,ADV
",",--,PUNCT
Franz,Franz,PROPN
",",--,PUNCT
an,an,ADP
deiner,dein,ADJ
Stelle,Stelle,NOUN
wüßte,wissen,VERB
ich,ich,PRON
nicht,nicht,PART
",",--,PUNCT
ob,ob,SCONJ
ich,ich,PRON
lachen,lachen,VERB
oder,oder,CCONJ
weinen,weinen,VERB
sollte,sollen,AUX
!,--,PUNCT
Eine,ein,DET
Erbschaft,Erbschaft,NOUN
ist,sein,AUX
mir,mir,PRON
immer,immer,ADV
als,als,ADP
das,der,DET
Ziel,Ziel,NOUN
meiner,mein,DET
Wünsche,Wunsch,NOUN
erschienen,erscheinen,VERB
",",--,PUNCT
aber,aber,CCONJ
wie,wie,SCONJ
mit,mit,ADP
jedem,jeder,DET
Dinge,Ding,NOUN
im,in,ADP
menschlichen,menschlich,ADJ
Leben,Leben,NOUN
–,--,PUNCT
alles,alle,PRON
mit,mit,ADP
Unterschied,Unterschied,NOUN
.,--,PUNCT
Franz,Franz,PROPN
",",--,PUNCT
wirklich,wirklich,ADV
",",--,PUNCT
du,du,PRON
tust,tun,PROPN
mir,mir,PRON
leid,Leid,NOUN
!,--,PUNCT
Da,da,ADV
hast,haben,AUX
du,du,PRON
nun,nun,ADV
etwas,etwas,DET
Ererbtes,Ererbtes,NOUN
am,an,ADP
Halse,Hals,NOUN
",",--,PUNCT
an,an,ADP
das,der,PRON
du,du,PRON
nie,nie,ADV
gedacht,denken,VERB
hast,haben,AUX
.,--,PUNCT
Ein,ein,DET
sogenanntes,sogenannter,ADJ
Gut,Gut,NOUN
",",--,PUNCT
ein,ein,DET
paar,paar,DET
hundert,hundert,NUM
Morgen,morgen,ADV
Äckerchen,Äckerche,NOUN
und,und,CCONJ
Wiesen,Wiese,NOUN
",",--,PUNCT
etwas,etwas,DET
Wald,Wald,NOUN
",",--,PUNCT
einen,ein,DET
verwilderten,verwildert,ADJ
Garten,Garten,NOUN
",",--,PUNCT
ein,ein,DET
vernachlässigtes,vernachlässigt,ADJ
Wohnhaus,Wohnhaus,NOUN
",",--,PUNCT
als,als,ADP
Inventar,Inventar,NOUN
vier,vier,NUM
gallige,gallig,ADJ
",",--,PUNCT
spatlahme,spatlahm,ADJ
Andalusier,Andalusier,NOUN
",",--,PUNCT
sechs,sechs,NUM
spindeldürre,Spindeldürre,ADJ
Kühe,Kuh,NOUN
und,und,CCONJ
eine,ein,DET
Tante,Tante,NOUN
als,als,ADP
Hauptsache,Hauptsache,NOUN
",",--,PUNCT
die,der,PRON
das,der,DET
Gallige,galliger,NOUN
und,und,CCONJ
Spindeldürre,Spindeldürre,NOUN
in,in,ADP
ihrer,ihr,DET
angenehmen,angenehm,ADJ
Persönlichkeit,Persönlichkeit,NOUN
zu,zu,PART
vereinigen,vereinigen,VERB
scheint,scheinen,VERB
.,--,PUNCT
–,--,PUNCT
Menschenkind,Menschenkind,NOUN
",",--,PUNCT
so,so,ADV
ringe,ringen,VERB
doch,doch,ADV
wenigstens,wenigstens,ADV
die,der,DET
Hände,Hand,NOUN
oder,oder,CCONJ
schimpfe,schimpf,NOUN
",",--,PUNCT
oder,oder,CCONJ
tue,tun,VERB
irgend,irgend,ADV
etwas,etwas,ADV
dergleichen,dergleichen,VERB
",",--,PUNCT
aber,aber,CCONJ
stehe,stehen,VERB
nicht,nicht,PART
so,so,ADV
einher,einher,ADV
wie,wie,ADP
die,der,DET
stumme,stumm,ADJ
Verzweiflung,Verzweiflung,NOUN
selbst,selbst,ADV
!,--,PUNCT
«,--,PUNCT
Amtsrichter,Amtsrichter,NOUN
Weishaupt,Weishaupt,PROPN
sprach,sprechen,VERB
diese,dieser,DET
Worte,Wort,NOUN
im,in,ADP
komischen,komisch,ADJ
Zorn,Zorn,NOUN
zu,zu,ADP
seinem,sein,DET
gegenübersitzenden,gegenübersitzend,ADJ
Freund,Freund,NOUN
",",--,PUNCT
dem,der,DET
Assessor,Assessor,NOUN
Linden,Linden,PROPN
.,--,PUNCT
Vor,vor,ADP
ihnen,ihnen,PRON
auf,auf,ADP
dem,der,DET
Tische,Tisch,NOUN
stand,stehen,VERB
eine,ein,DET
Rheinweinflasche,Rheinweinflasche,NOUN
nebst,nebst,ADP
Gläsern,Glas,NOUN
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
dieser,dieser,DET
bereits,bereits,ADV
geleerten,geleert,ADJ
Flasche,Flasche,NOUN
hafteten,hafteen,VERB
6,6,NUM
die,der,DET
Augen,Auge,NOUN
des,der,DET
Angeredeten,Angeredet,NOUN
mit,mit,ADP
nachdenklichem,nachdenklich,ADJ
Ausdruck,Ausdruck,NOUN
",",--,PUNCT
als,als,SCONJ
könne,können,AUX
er,er,PRON
von,von,ADP
dem,der,DET
Etikett,Etikett,NOUN
eine,ein,DET
Antwort,Antwort,NOUN
ablesen,ablesen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ein,ein,DET
großes,groß,ADJ
Zimmer,Zimmer,NOUN
",",--,PUNCT
in,in,ADP
dem,der,PRON
sich,sich,PRON
die,der,DET
beiden,beide,DET
befanden,befinden,VERB
",",--,PUNCT
eine,ein,DET
Art,Art,NOUN
Gartensaal,Gartensaal,NOUN
",",--,PUNCT
unendlich,unendlich,ADV
altmodisch,altmodisch,ADV
