Token,Lemma,POS
Wilhemine,Wilhemine,PROPN
von,von,ADP
Hillern,Hiller,NOUN
Die,der,DET
Geier-Wally,Geier-Wally,PROPN
Eine,ein,DET
Geschichte,Geschichte,NOUN
aus,aus,ADP
den,der,DET
Tiroler,Tiroler,ADJ
Alpen,Alpen,PROPN
»,--,PUNCT
Schaust,Schaust,PROPN
du,du,PRON
verträumt,verträumen,VERB
vom,von,ADP
Turme,Turm,NOUN
nieder,nieder,ADV
",",--,PUNCT
Du,du,PRON
hochlandwilde,hochlandwilde,VERB
scheue,scheu,ADV
Maid,Maid,PROPN
Im,in,ADP
knappgeschnürten,knappgeschnürt,ADJ
Purpurmieder,Purpurmieder,NOUN
",",--,PUNCT
In,in,ADP
keuscher,keusch,ADJ
Herzensherrlichkeit,Herzensherrlichkeit,NOUN
",",--,PUNCT
So,so,ADV
denk,denk,ADV
',--,PUNCT
ich,ich,PRON
einer,ein,DET
Alpenrose,Alpenrose,NOUN
",",--,PUNCT
Die,der,DET
einsam,einsam,ADV
auf,auf,ADP
der,der,DET
Klippe,Klippe,NOUN
steht,stehen,VERB
",",--,PUNCT
Unsorgsam,Unsorgsam,ADV
",",--,PUNCT
ob,ob,SCONJ
bei,bei,ADP
Stein,Stein,NOUN
und,und,CCONJ
Moose,Moose,PROPN
Ein,ein,DET
Menschenauge,Menschenauge,NOUN
sie,sie,PRON
erspäht,erspähen,VERB
.,--,PUNCT
«,--,PUNCT
Scheffel,Scheffel,NOUN
Die,der,DET
Alpenrose,Alpenrose,NOUN
Tief,tief,ADV
unten,unten,ADV
durchs,durch,ADP
Ötztal,Ötztal,NOUN
zog,ziehen,VERB
ein,ein,DET
fremder,fremd,ADJ
Wanderer,Wanderer,NOUN
.,--,PUNCT
Oben,oben,ADV
in,in,ADP
Adlershöhe,Adlershöhe,NOUN
über,über,ADP
ihm,ihm,PRON
am,an,ADP
schwindelnden,schwindelnd,ADJ
Abhang,Abhang,NOUN
stand,stehen,VERB
eine,ein,DET
Mädchengestalt,Mädchengestalt,NOUN
",",--,PUNCT
von,von,ADP
der,der,DET
Tiefe,Tiefe,NOUN
heraufgesehen,heraufgesehen,VERB
nicht,nicht,PART
größer,groß,ADV
als,als,ADP
eine,ein,DET
Alpenrose,Alpenrose,NOUN
",",--,PUNCT
aber,aber,CCONJ
doch,doch,ADV
scharf,scharf,ADV
sich,sich,PRON
abzeichnend,abzeichnend,ADV
vom,von,ADP
lichtblauen,lichtblau,ADJ
Himmel,Himmel,NOUN
und,und,CCONJ
den,der,DET
leuchtenden,leuchtend,ADJ
Eisspitzen,Eisspitz,NOUN
der,der,DET
Ferner,Ferner,PROPN
.,--,PUNCT
Fest,fest,ADV
und,und,CCONJ
ruhig,ruhig,ADV
stand,stehen,VERB
sie,sie,PRON
da,da,ADV
",",--,PUNCT
wie,wie,SCONJ
auch,auch,ADV
der,der,DET
Höhenwind,Höhenwind,NOUN
an,an,ADP
ihr,ihr,PRON
riß,reißen,VERB
und,und,CCONJ
zerrte,zerren,VERB
",",--,PUNCT
und,und,CCONJ
schaute,schaute,VERB
nieder,nieder,ADV
schwindellos,schwindellos,ADV
in,in,ADP
die,der,DET
Tiefe,Tiefe,NOUN
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Ache,Ache,NOUN
brausend,brausend,ADV
durch,durch,ADP
die,der,DET
Schlucht,Schlucht,NOUN
stürzte,stürzen,VERB
und,und,CCONJ
ein,ein,DET
schräger,schräg,ADJ
Sonnenstrahl,Sonnenstrahl,NOUN
in,in,ADP
ihrem,ihr,DET
feinen,fein,ADJ
Sprühregen,Sprühregen,NOUN
schimmernde,schimmernd,ADJ
Prismen,Prisma,NOUN
an,an,ADP
die,der,DET
Felswand,Felswand,NOUN
malte,malen,VERB
.,--,PUNCT
Auch,auch,ADV
sie,sie,PRON
sah,sehen,VERB
winzig,winzig,ADV
klein,klein,ADV
den,der,DET
Wanderer,Wanderer,NOUN
und,und,CCONJ
seinen,sein,DET
Führer,Führer,NOUN
dahinziehen,dahinziehen,ADJ
über,über,ADP
den,der,DET
schmalen,schmal,ADJ
Steg,Steg,NOUN
",",--,PUNCT
der,der,PRON
in,in,ADP
Turmeshöhe,Turmeshöhe,NOUN
über,über,ADP
die,der,DET
Ache,Ache,NOUN
führte,führen,VERB
und,und,CCONJ
von,von,ADP
da,da,ADV
oben,oben,ADV
einem,ein,DET
Strohhalm,Strohhalm,NOUN
glich,glich,ADV
.,--,PUNCT
Sie,sie,PRON
hörte,hören,VERB
nicht,nicht,PART
",",--,PUNCT
was,was,PRON
die,der,DET
beiden,beide,DET
sprachen,Sprache,NOUN
",",--,PUNCT
denn,denn,CCONJ
aus,aus,ADP
der,der,DET
Tiefe,Tiefe,NOUN
drang,drang,ADV
kein,kein,DET
Laut,laut,NOUN
herauf,herauf,ADV
als,als,ADP
das,der,DET
donnernde,donnernd,ADJ
Brausen,Brausen,NOUN
des,der,DET
Wassers,Wasser,NOUN
.,--,PUNCT
Sie,sie,PRON
wurde,werden,AUX
nicht,nicht,PART
gewahr,gewahr,ADV
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Führer,Führer,NOUN
",",--,PUNCT
ein,ein,DET
schmucker,schmuck,ADJ
Gemsjäger,Gemsjäger,NOUN
",",--,PUNCT
drohend,drohend,ADV
den,der,DET
Arm,Arm,NOUN
erhob,erheben,VERB
",",--,PUNCT
zu,zu,ADP
ihr,ihr,PRON
hinauf,hinauf,ADV
deutete,deuten,VERB
und,und,CCONJ
zu,zu,ADP
dem,der,DET
Fremden,fremde,NOUN
sagte,sagen,VERB
:,--,PUNCT
»,--,PUNCT
Das,der,DET
is,--,X
g'wiß,g'wiß,ADV
die,der,DET
Geier-Wally,Geier-Wally,PROPN
",",--,PUNCT
die,der,PRON
dort,dort,ADV
oben,oben,ADV
steht,stehen,VERB
",",--,PUNCT
denn,denn,CCONJ
auf,auf,ADP
den,der,DET
schmalen,schmal,ADJ
Vorsprung,Vorsprung,NOUN
",",--,PUNCT
so,so,ADV
nah,nah,ADV
an,an,ADP
n,n,X
',--,PUNCT
Abgrund,Abgrund,NOUN
",",--,PUNCT
traut,trauen,VERB
sich,sich,PRON
kei,kei,PROPN
andres,andr,ADJ
Madel,Madel,NOUN
;,--,PUNCT
schauen's,schauen's,X
",",--,PUNCT
ma,ma,PROPN
meint,meinen,VERB
",",--,PUNCT
der,der,DET
Wind,Wind,NOUN
müßt,müßen,VERB
',--,PUNCT
sie,sie,PRON
',--,PUNCT
runterwehen,runterwehen,VERB
",",--,PUNCT
aber,aber,CCONJ
die,der,DET
tut,tun,VERB
immer's,immer's,X
Gegenteil,Gegenteil,NOUN
von,von,ADP
dem,der,PRON
",",--,PUNCT
was,wer,PRON
jeder,jeder,PRON
vernünftige,vernünftig,ADJ
Christenmensch,Christenmensch,NOUN
tut,tun,VERB
.,--,PUNCT
«,--,PUNCT
Jetzt,jetzt,ADV
traten,treten,VERB
sie,sie,PRON
in,in,ADP
einen,ein,DET
dunkeln,dunkeln,NOUN
",",--,PUNCT
feuchtkalten,feuchtkalt,ADJ
Fichtenwald,Fichtenwald,PROPN
ein,ein,ADV
.,--,PUNCT
Noch,noch,ADV
einmal,einmal,ADV
blieb,bleiben,VERB
der,der,DET
Führer,Führer,NOUN
stehen,stehen,VERB
und,und,CCONJ
schaute,schaut,ADJ
hinauf,hinauf,ADV
mit,mit,ADP
Falkenblick,Falkenblick,NOUN
",",--,PUNCT
wo,wo,SCONJ
das,der,DET
Mädchen,Mädchen,NOUN
stand,stehen,VERB
und,und,CCONJ
das,der,DET
Dörfchen,Dörfchen,NOUN
sich,sich,PRON
lieblich,lieblich,ADV
hinbreitete,hinbreiten,VERB
auf,auf,ADP
der,der,DET
schmalen,schmal,ADJ
Bergplatte,Bergplatte,NOUN
im,in,ADP
vollen,voll,ADJ
Glanz,Glanz,NOUN
der,der,DET
Morgensonne,Morgensonne,NOUN
",",--,PUNCT
die,der,PRON
noch,noch,ADV
kaum,kaum,ADV
verstohlen,verstohlen,VERB
hereinschielen,hereinschielen,VERB
durfte,dürfen,AUX
in,in,ADP
die,der,DET
enge,eng,ADJ
",",--,PUNCT
grabesdüstre,Grabesdüstre,ADJ
Schlucht,Schlucht,NOUN
da,da,ADV
unten,unten,ADV
.,--,PUNCT
»,--,PUNCT
Schau,Schau,NOUN
nur,nur,ADV
nit,nit,PRON
so,so,ADV
trotzig,trotzig,ADV
',--,PUNCT
runter,runter,ADV
",",--,PUNCT
da,da,SCONJ
',--,PUNCT
nauf,nauf,NOUN
gibt's,gibt's,VERB
a,a,X
noch'n,noch'n,X
Weg,Weg,NOUN
!,--,PUNCT
«,--,PUNCT
murmelte,murmelen,VERB
er,er,PRON
und,und,CCONJ
verschwand,verschwinden,VERB
mit,mit,ADP
dem,der,DET
Fremden,fremde,NOUN
.,--,PUNCT
Wie,wie,ADP
zum,zu,ADP
Hohn,Hohn,NOUN
auf,auf,ADP
die,der,DET
Drohung,Drohung,NOUN
stieß,stoßen,VERB
das,der,DET
Mädchen,Mädchen,NOUN
einen,ein,DET
Juchzer,Juchzer,NOUN
aus,aus,ADP
",",--,PUNCT
so,so,ADV
gellend,gellend,ADV
von,von,ADP
allen,aller,PRON
Wänden,Wände,NOUN
widerhallend,widerhallend,ADV
",",--,PUNCT
daß,daß,SCONJ
ein,ein,DET
beflügeltes,beflügelt,ADJ
Echo,Echo,NOUN
den,der,DET
Ton,Ton,NOUN
bis,bis,ADP
in,in,ADP
die,der,DET
tiefe,tief,ADJ
Stille,Stille,NOUN
des,der,DET
Fichtenwaldes,Fichtenwald,NOUN
hineintrug,hineintrug,VERB
",",--,PUNCT
geisterhaft,geisterhaft,ADV
verklingend,verklingend,ADV
wie,wie,ADP
der,der,DET
herausfordernde,herausfordernd,ADJ
Ruf,Ruf,NOUN
der,der,DET
den,der,DET
Gemsjäger,Gemsjäger,NOUN
feindlichen,feindlich,ADJ
Feen,Fee,NOUN
des,der,DET
Ötztals,Ötztal,NOUN
.,--,PUNCT
»,--,PUNCT
Ja,ja,PART
",",--,PUNCT
schrei,schrei,NUM
nur,nur,ADV
–,--,PUNCT
i,i,X
will,wollen,AUX
dir's,Dir's,PROPN
scho,Scho,PROPN
austreiben,austreiben,VERB
!,--,PUNCT
«,--,PUNCT
drohte,drohen,VERB
er,er,PRON
wieder,wieder,ADV
",",--,PUNCT
und,und,CCONJ
sich,sich,PRON
stark,stark,ADV
hintenüberlegend,hintenüberlegend,ADV
",",--,PUNCT
das,der,DET
Genick,Genick,NOUN
mit,mit,ADP
beiden,beide,DET
Händen,Hand,NOUN
stemmend,stemmend,ADV
",",--,PUNCT
schmetterte,schmettern,VERB
er,er,PRON
hell,hell,ADV
und,und,CCONJ
grell,grell,ADV
wie,wie,ADP
ein,ein,DET
Posthorn,Posthorn,NOUN
ein,ein,DET
Spott-,Spott,X
und,und,CCONJ
Trutzlied,Trutzlied,NOUN
an,an,ADP
der,der,DET
Bergwand,Bergwand,NOUN
empor,empor,ADV
.,--,PUNCT
»,--,PUNCT
Ob,ob,SCONJ
sie,sie,PRON
's,'s,PRON
hört,hören,VERB
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Warum,warum,ADV
nennst,nennst,ADV
du,du,PRON
das,der,DET
Mädchen,Mädchen,NOUN
dort,dort,ADV
oben,oben,ADV
die,der,DET
Geier-Wally,Geier-Wally,PROPN
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
der,der,DET
Fremde,Fremde,NOUN
unten,unten,ADV
im,in,ADP
dunkeln,dunkeln,NOUN
",",--,PUNCT
feuchtrauschenden,feuchtrauschend,ADJ
Wald,Wald,NOUN
.,--,PUNCT
»,--,PUNCT
Herr,Herr,NOUN
",",--,PUNCT
weil,weil,SCONJ
sie,sie,PRON
als,als,ADP
Kind,Kind,NOUN
scho,Scho,PROPN
a,a,PROPN
Geiernest,Geiernest,PROPN
ausg'nommen,ausg'nommen,VERB
und,und,CCONJ
mit,mit,ADP
dem,der,DET
alten,alt,ADJ
Geier,Geier,NOUN
g'hakelt,G'hakelt,VERB
hat,haben,AUX
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
der,der,DET
Tiroler,Tiroler,NOUN
",",--,PUNCT
»,--,PUNCT
's,'s,X
is,--,X
das,der,DET
schönste,schön,ADJ
und,und,CCONJ
stärkste,stark,ADJ
Mädel,Mädel,NOUN
in,in,ADP
ganz,ganz,ADV
Tirol,Tirol,NOUN
und,und,CCONJ
furchtbar,furchtbar,ADV
reich,reich,ADV
",",--,PUNCT
und,und,CCONJ
die,der,DET
Buab'n,Buab',NOUN
lassen,lassen,VERB
sich,sich,PRON
von,von,ADP
ihr,ihr,PRON
heimjagen,heimjagen,VERB
",",--,PUNCT
daß,daß,SCONJ
a,a,PROPN
wahre,wahr,ADJ
Schand,Schand,X
is,--,X
.,--,PUNCT
Keiner,keiner,PRON
hat,haben,VERB
die,der,DET
Schneid,Schneid,NOUN
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
ihr,ihr,PRON
amal,amal,ADV
'n,'n,DET
Meister,Meister,NOUN
zeigen,zeigen,VERB
tät,Tät,NOUN
!,--,PUNCT
Spröd,Spröd,PROPN
sei,sein,AUX
sie,sie,PRON
wie,wie,ADP
a,a,PROPN
wilde,wild,ADJ
Katz,Katz,NOUN
und,und,CCONJ
so,so,ADV
stark,stark,ADV
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Buab'n,Buab',NOUN
behaupten,behaupten,VERB
",",--,PUNCT
's,es,PRON
könn,könn,X
',--,PUNCT
sie,sie,PRON
keiner,keiner,DET
zwinge,zwingen,VERB
–,--,PUNCT
wenn,wenn,SCONJ
ihr,ihr,PRON
einer,ein,PRON
z,z,NOUN
',--,PUNCT
nah,nah,ADV
kommt,kommen,VERB
",",--,PUNCT
schlagt,schlagen,VERB
s',s',PROPN
ihn,ihn,PRON
nieder,nieder,ADV
.,--,PUNCT
No,--,X
–,--,PUNCT
wann,wann,SCONJ
i,i,ADV
emal,emal,ADV
',--,PUNCT
nauf,nauf,NOUN
käm,käm,PROPN
",",--,PUNCT
i,i,X
wollt,wollt,VERB
',--,PUNCT
sie,sie,PRON
zwinge,zwingen,VERB
",",--,PUNCT
oder,oder,CCONJ
i,i,ADV
riß,reißen,VERB
mer,Mer,NOUN
selber,selber,ADV
'n,'n,DET
Gamsbart,Gamsbart,NOUN
und,und,CCONJ
d',d',PROPN
Feder,Feder,PROPN
vom,von,ADP
Huat,Huat,PROPN
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Warum,warum,ADV
hast,haben,AUX
du,du,PRON
nicht,nicht,PART
schon,schon,ADV
dein,dein,DET
Glück,Glück,NOUN
bei,bei,ADP
ihr,ihr,PRON
versucht,versuchen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
doch,doch,ADV
so,so,ADV
reich,reich,ADV
ist,sein,AUX
und,und,CCONJ
schön,schön,ADV
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
der,der,DET
Fremde,Fremde,NOUN
.,--,PUNCT
»,--,PUNCT
Ach,ach,INTJ
wissen,wissen,VERB
S',S',PROPN
i,i,PROPN
mag,mögen,AUX
so,so,ADV
Madeln,Madel,NOUN
nit,nit,PRON
–,--,PUNCT
die,der,DET
halbe,halb,ADJ
Buab'n,Buab'n,NOUN
sind,sein,AUX
.,--,PUNCT
Freili,Freili,PROPN
kann,können,AUX
sie,sie,PRON
nix,nix,PRON
dafür,dafür,ADV
:,--,PUNCT
der,der,DET
Alte,alt,ADJ
–,--,PUNCT
Stromminger,Stromminger,PROPN
heißt,heißen,VERB
er,er,PRON
–,--,PUNCT
ist,sein,AUX
gar,gar,ADV
a,a,PROPN
schiecher,schiech,ADV
",",--,PUNCT
böser,böse,ADJ
Mensch,Mensch,NOUN
.,--,PUNCT
Er,er,PRON
war,sein,AUX
vorzeiten,vorzeiten,VERB
der,der,DET
beste,gut,ADJ
Hackler,Hackler,NOUN
und,und,CCONJ
Robler,Robler,NOUN
im,in,ADP
Gebirg,Gebirg,NOUN
",",--,PUNCT
und,und,CCONJ
des,der,PRON
geht,gehen,VERB
ihm,ihm,PRON
heut,heuen,VERB
noch,noch,ADV
nach,nach,ADP
.,--,PUNCT
Das,der,DET
Madel,Madel,NOUN
hat,haben,AUX
er,er,PRON
lasterhaft,lasterhaft,ADV
viel,viel,PRON
g'schlagen,g'schlagen,NOUN
und,und,CCONJ
aufzog'n,aufzog'n,X
wie,wie,ADP
'n,'n,DET
Buab'n,Buab'n,PROPN
;,--,PUNCT
kei,kei,X
Muater,Muater,NOUN
hat's,hat's,VERB
nit,nit,DET
g'habt,G'habt,NOUN
",",--,PUNCT
weil's,weil's,X
