Token,Lemma,POS
Willibald,Willibald,NOUN
Alexis,Alexis,PROPN
Der,der,DET
Roland,Roland,NOUN
von,von,ADP
Berlin,Berlin,PROPN
–,--,PUNCT
Erster,Erster,PROPN
Band,Band,NOUN
Historischer,Historischer,ADJ
Roman,Roman,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Vor,vor,ADP
dem,der,DET
Rathaus,Rathaus,NOUN
auf,auf,ADP
der,der,DET
langen,lang,ADJ
Brücke,Brücke,NOUN
drängte,drängen,VERB
und,und,CCONJ
wogte,wogen,VERB
es,es,PRON
hin,hin,ADV
und,und,CCONJ
her,her,ADV
.,--,PUNCT
Leute,Leute,NOUN
allerlei,allerlei,DET
Standes,Stand,PROPN
",",--,PUNCT
Männer,Mann,NOUN
",",--,PUNCT
Frauen,Frau,NOUN
und,und,CCONJ
Kinder,Kind,NOUN
standen,stehen,VERB
vor,vor,ADP
dem,der,DET
hohen,hoch,ADJ
Gebäude,Gebäude,NOUN
",",--,PUNCT
und,und,CCONJ
es,es,PRON
ward,ward,VERB
immer,immer,ADV
lauter,lauter,ADV
drinnen,drinnen,ADV
.,--,PUNCT
War,sein,AUX
es,es,PRON
nur,nur,ADV
eine,ein,DET
herkömmliche,herkömmlich,ADJ
Sitzung,Sitzung,NOUN
der,der,DET
Ratmannen,Ratmann,NOUN
der,der,DET
vereinigten,vereinigt,ADJ
Städte,Stadt,NOUN
Berlin,Berlin,PROPN
und,und,CCONJ
Köln,Köln,PROPN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
alle,aller,DET
Montag,Montag,NOUN
um,um,ADP
acht,acht,NUM
Uhr,Uhr,NOUN
in,in,ADP
der,der,DET
Frühe,Frühe,NOUN
",",--,PUNCT
und,und,CCONJ
dann,dann,ADV
Donnerstags,Donnerstags,ADV
wieder,wieder,ADV
früh,früh,ADV
gehalten,halten,VERB
werden,werden,AUX
;,--,PUNCT
aber,aber,CCONJ
so,so,ADV
hitzig,hitzig,NUM
war,sein,AUX
es,es,PRON
seit,seit,ADP
Menschengedenken,Menschengedenken,NOUN
nicht,nicht,PART
zugegangen,zugehen,VERB
.,--,PUNCT
Die,der,DET
Stimmen,Stimme,NOUN
überschrieen,überschrieen,VERB
sich,sich,PRON
",",--,PUNCT
daß,daß,SCONJ
man,man,PRON
itzo,itzo,ADV
vor,vor,ADP
dem,der,DET
allgemeinen,allgemein,ADJ
Lärmen,Lärmen,NOUN
gar,gar,ADV
nichts,nichts,PRON
hörte,hören,VERB
",",--,PUNCT
und,und,CCONJ
es,es,PRON
war,sein,AUX
",",--,PUNCT
wie,wie,ADP
wenn,wenn,SCONJ
Bienen,Bien,NOUN
summen,summen,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Käfer,Käfer,NOUN
vorm,vor,ADP
Stock,Stock,NOUN
hören,hören,VERB
keine,kein,PRON
raus,raus,ADV
.,--,PUNCT
Aber,aber,CCONJ
dann,dann,ADV
schrie,schreien,VERB
einer,einer,PRON
so,so,ADV
",",--,PUNCT
daß,daß,SCONJ
alles,alle,PRON
schwieg,schweigen,VERB
",",--,PUNCT
aber,aber,CCONJ
nun,nun,ADV
schrie,schreien,VERB
ein,ein,DET
anderer,anderer,PRON
noch,noch,ADV
lauter,laut,ADV
",",--,PUNCT
und,und,CCONJ
der,der,DET
vorige,vorige,ADJ
mußte,müssen,AUX
wieder,wieder,ADV
schweigen,schweigen,VERB
",",--,PUNCT
und,und,CCONJ
nun,nun,ADV
hörte,hören,VERB
man,man,PRON
sie,sie,PRON
auf,auf,ADP
Tisch,Tisch,NOUN
und,und,CCONJ
Bänke,bänke,NOUN
springen,springen,VERB
",",--,PUNCT
und,und,CCONJ
hochrote,hochrot,ADJ
Gesichter,Gesicht,NOUN
zeigten,zeigen,VERB
sich,sich,PRON
an,an,ADP
den,der,DET
Fenstern,Fenster,NOUN
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
deutlich,deutlich,ADV
durch,durch,ADP
die,der,DET
kleinen,klein,ADJ
Scheiben,Scheibe,NOUN
sehen,sehen,VERB
konnte,können,AUX
.,--,PUNCT
Es,es,PRON
war,sein,AUX
aber,aber,ADV
das,der,DET
Rathaus,Rathaus,NOUN
der,der,DET
vereinigten,vereinigt,ADJ
Städte,Stadt,NOUN
Berlin,Berlin,PROPN
und,und,CCONJ
Köln,Köln,PROPN
",",--,PUNCT
ein,ein,DET
hohes,hoch,ADJ
und,und,CCONJ
stattliches,stattlich,ADJ
Gebäude,Gebäude,NOUN
",",--,PUNCT
als,als,SCONJ
man,man,PRON
gleich,gleich,ADV
hören,hören,VERB
wird,werden,AUX
",",--,PUNCT
in,in,ADP
all,all,DET
dem,der,DET
bunten,bunt,ADJ
Schmuck,Schmuck,NOUN
der,der,DET
Zeit,Zeit,NOUN
",",--,PUNCT
wo,wo,SCONJ
es,es,PRON
entstanden,entstehen,VERB
.,--,PUNCT
Wie,wie,SCONJ
man,man,PRON
weiß,wissen,VERB
",",--,PUNCT
führte,führen,VERB
die,der,DET
kurze,kurz,ADJ
Brücke,Brücke,NOUN
",",--,PUNCT
welche,welcher,PRON
»,--,PUNCT
die,der,DET
lange,lange,ADV
«,--,PUNCT
heißt,heißen,VERB
",",--,PUNCT
ihren,ihr,DET
Namen,Name,NOUN
damals,damals,ADV
mit,mit,ADP
mehr,mehr,DET
Recht,Recht,NOUN
.,--,PUNCT
Sie,sie,PRON
verband,verbinden,VERB
Köln,Köln,PROPN
und,und,CCONJ
Berlin,Berlin,PROPN
;,--,PUNCT
aber,aber,CCONJ
da,da,ADV
",",--,PUNCT
wo,wo,SCONJ
sie,sie,PRON
heut,heuen,VERB
an,an,ADP
der,der,DET
Burgstraße,Burgstraße,NOUN
endet,enden,VERB
",",--,PUNCT
berührte,berühren,VERB
sie,sie,PRON
vorerst,vorerst,ADV
eine,ein,DET
morastige,morastig,ADJ
Insel,Insel,NOUN
",",--,PUNCT
über,über,ADP
die,der,PRON
sie,sie,PRON
hinweg,hinweg,ADV
nach,nach,ADP
einem,ein,DET
nun,nun,ADV
verschwundenen,verschwunden,ADJ
Spreearm,Spreearm,NOUN
führte,führen,VERB
",",--,PUNCT
welcher,welcher,PRON
durch,durch,ADP
die,der,DET
jetzige,jetzig,ADJ
Heiligegeiststraße,Heiligegeiststraße,NOUN
floß,fließen,VERB
.,--,PUNCT
Über,über,ADP
diesen,dieser,DET
hinweg,hinweg,NOUN
berührte,berührn,VERB
ihr,ihr,DET
anderes,anderer,ADJ
Ende,Ende,NOUN
erst,erst,ADV
das,der,DET
eigentliche,eigentlich,ADJ
Berlin,Berlin,PROPN
",",--,PUNCT
das,der,PRON
hinausging,Hinausging,PROPN
bis,bis,ADP
ans,an,ADP
Oberberger,Oberberger,NOUN
Thor,Thor,PROPN
",",--,PUNCT
da,da,SCONJ
wo,wo,SCONJ
die,der,DET
steinerne,steinern,ADJ
Brücke,Brücke,NOUN
ist,sein,AUX
;,--,PUNCT
und,und,CCONJ
