Token,Lemma,POS
Willibald,Willibald,NOUN
Alexis,Alexis,PROPN
Walladmor,Walladmor,PROPN
.,--,PUNCT
Frei,frei,ADV
nach,nach,ADP
dem,der,DET
Englischen,englische,NOUN
des,der,DET
Walter,Walter,PROPN
Scott,Scott,PROPN
.,--,PUNCT
Von,von,ADP
W,--,X
.,--,PUNCT
.,--,PUNCT
.,--,PUNCT
.,--,PUNCT
s,s,PRON
Berlin,Berlin,PROPN
",",--,PUNCT
bei,bei,ADP
Friedrich,Friedrich,PROPN
August,August,PROPN
Herbig,Herbig,PROPN
.,--,PUNCT
—,--,PUNCT
1824,1824,NUM
James,James,PROPN
Barnesley,Barnesley,PROPN
",",--,PUNCT
Baronet,Baronet,PROPN
",",--,PUNCT
ehrfurchtsvoll,ehrfurchtsvoll,ADV
gewidmet,widmen,VERB
von,von,ADP
einem,einer,PRON
seiner,sein,DET
stillsten,stillst,ADJ
Verehrer,Verehrer,NOUN
",",--,PUNCT
dem,der,DET
Autor,Autor,NOUN
.,--,PUNCT
Sir,Sir,NOUN
!,--,PUNCT
Wenn,wenn,SCONJ
Sie,sie,PRON
sich,sich,PRON
noch,noch,ADV
eines,ein,DET
jungen,jung,ADJ
Mannes,Mann,NOUN
erinnern,erinnern,VERB
",",--,PUNCT
den,der,PRON
Sie,sie,PRON
vor,vor,ADP
ungefähr,ungefähr,ADV
fünfundzwanzig,fünfundzwanzig,ADV
Jahren,Jahr,NOUN
auf,auf,ADP
Ihrem,ihr,DET
reizenden,reizend,ADJ
Landsitze,Landsitze,NOUN
bei,bei,ADP
Ellismern,Ellismer,NOUN
mit,mit,ADP
zuvorkommender,zuvorkommend,ADJ
Gastfreundschaft,Gastfreundschaft,NOUN
aufnahmen,aufnahmen,VERB
",",--,PUNCT
so,so,ADV
möchte,möchten,AUX
Ihnen,ihnen,PRON
auch,auch,ADV
vielleicht,vielleicht,ADV
noch,noch,ADV
eine,ein,PRON
",",--,PUNCT
vom,von,ADP
schönsten,schön,ADJ
Herbstwetter,Herbstwetter,NOUN
begünstigte,begünstigen,VERB
",",--,PUNCT
Wasserpartie,Wasserpartie,NOUN
",",--,PUNCT
welche,welcher,PRON
von,von,ADP
einer,ein,DET
geistreichen,geistreich,ADJ
Gesellschaft,Gesellschaft,NOUN
unter,unter,ADP
Ihren,ihr,DET
Auspicien,Auspicien,NOUN
von,von,ADP
Chester,Chester,PROPN
aus,aus,ADP
nach,nach,ADP
der,der,DET
Insel,Insel,NOUN
Man,man,PRON
und,und,CCONJ
auf,auf,ADP
dem,der,DET
Rückwege,Rückweg,NOUN
nach,nach,ADP
Anglesea,Anglesea,PROPN
unternommen,unternehmen,VERB
wurde,werden,AUX
",",--,PUNCT
im,in,ADP
Angedenken,Angedenken,NOUN
leben,leben,VERB
.,--,PUNCT
Sie,sie,PRON
äußerten,äußern,VERB
späterhin,späterhin,ADV
Ihre,ihr,DET
Verwunderung,Verwunderung,NOUN
",",--,PUNCT
daß,daß,SCONJ
",",--,PUNCT
während,während,SCONJ
Jedermann,Jedermann,PRON
sich,sich,PRON
der,der,DET
Freude,Freude,NOUN
hingab,hingeben,VERB
",",--,PUNCT
der,der,DET
junge,jung,ADJ
Mann,Mann,NOUN
allein,allein,ADV
verschlossen,verschließen,VERB
im,in,ADP
Hintertheil,Hintertheil,NOUN
des,der,DET
Schiffes,Schiff,NOUN
gesessen,sitzen,VERB
",",--,PUNCT
und,und,CCONJ
wenig,wenig,DET
Antheil,Antheil,NOUN
an,an,ADP
der,der,DET
allgemeinen,allgemein,ADJ
Lust,Lust,NOUN
genommen,nehmen,VERB
habe,haben,AUX
.,--,PUNCT
Die,der,DET
Bilder,Bild,NOUN
und,und,CCONJ
Gedanken,Gedanke,NOUN
",",--,PUNCT
welche,welcher,PRON
damals,damals,ADV
beim,bei,ADP
schnellen,schnell,ADJ
Vorüberfliegen,Vorüberflieg,NOUN
an,an,ADP
den,der,DET
reizenden,reizend,ADJ
Küsten,Küste,NOUN
von,von,ADP
Wales,Wales,PROPN
ihn,ihn,PRON
innerlich,innerlich,ADV
entzückten,entzückn,VERB
",",--,PUNCT
und,und,CCONJ
welche,welcher,PRON
ihm,ihm,PRON
bei,bei,ADP
seinen,sein,DET
einsamen,Einsam,NOUN
Spaziergängen,spaziergängen,NOUN
an,an,ADP
den,der,DET
Quellen,Quelle,NOUN
der,der,DET
Severn,Sever,NOUN
–,--,PUNCT
häufig,häufig,ADV
wurde,werden,AUX
er,er,PRON
damals,damals,ADV
von,von,ADP
Ihrer,ihr,DET
liebenswürdigen,liebenswürdig,ADJ
Schwester,Schwester,NOUN
der,der,DET
Träumer,Träumer,NOUN
genannt,nennen,VERB
–,--,PUNCT
begegneten,begegnen,VERB
",",--,PUNCT
hat,haben,AUX
er,er,PRON
erst,erst,ADV
jetzt,jetzt,ADV
Muße,Muße,NOUN
gefunden,finden,VERB
",",--,PUNCT
ausgearbeitet,ausarbeiten,VERB
niederzuschreiben,niederzuschreiben,VERB
",",--,PUNCT
und,und,CCONJ
es,es,PRON
ist,sein,AUX
sein,sein,DET
größter,groß,ADJ
Wunsch,Wunsch,NOUN
",",--,PUNCT
daß,daß,SCONJ
einige,einiger,DET
Scenen,Scene,NOUN
des,der,DET
nachfolgenden,nachfolgend,ADJ
Buches,Buch,NOUN
Ihnen,ihnen,PRON
diejenigen,derjenige,PRON
zurückrufen,zurückrufen,VERB
möchten,möchten,AUX
",",--,PUNCT
welche,welcher,PRON
er,er,PRON
immer,immer,ADV
zu,zu,ADP
den,der,DET
glücklichsten,Glücklichst,NOUN
seines,sein,DET
Lebens,Leben,NOUN
zu,zu,PART
rechnen,rechnen,VERB
fortfahren,fortfahren,VERB
wird,werden,AUX
.,--,PUNCT
Vorwort,Vorwort,NOUN
.,--,PUNCT
Es,es,PRON
hieße,heißen,VERB
ein,ein,DET
Sandfaß,Sandfaß,NOUN
in,in,ADP
die,der,DET
lybische,lybisch,ADJ
Wüste,Wüste,NOUN
sauber,sauber,ADV
ausstreuen,ausstreuen,VERB
",",--,PUNCT
noch,noch,ADV
etwas,etwas,PRON
zum,zu,ADP
Lobe,Lobe,NOUN
des,der,DET
Dichters,Dichter,NOUN
sagen,sagen,VERB
zu,zu,PART
wollen,wollen,AUX
",",--,PUNCT
dessen,der,DET
neuster,neu,ADJ
Roman,Roman,NOUN
hier,hier,ADV
erscheint,erscheinen,VERB
.,--,PUNCT
Die,der,DET
längst,längst,ADV
anerkannten,anerkannt,ADJ
Vorzüge,Vorzug,NOUN
seiner,sein,DET
ältern,ältern,ADJ
Romane,Roman,NOUN
",",--,PUNCT
getreue,getreu,ADJ
und,und,CCONJ
immer,immer,ADV
lebendige,lebendig,ADJ
Durchführung,Durchführung,NOUN
origineller,origineller,ADJ
Charaktere,Charakter,NOUN
",",--,PUNCT
mahlerische,mahlerisch,ADJ
Schilderung,Schilderung,NOUN
der,der,DET
Erscheinungen,Erscheinung,NOUN
aus,aus,ADP
dem,der,DET
äußern,äußern,ADJ
