Token,Lemma,POS
Willy,Willy,PROPN
Pastor,Pastor,PROPN
Der,der,DET
Tod,Tod,NOUN
des,der,DET
Judas,Judas,NOUN
Es,es,PRON
ist,sein,AUX
Nacht,Nacht,NOUN
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Richtplatz,Richtplatz,NOUN
ist,sein,AUX
es,es,PRON
endlich,endlich,ADV
stille,still,ADJ
geworden,werden,AUX
.,--,PUNCT
Als,als,SCONJ
es,es,PRON
dunkelte,dunkelen,VERB
",",--,PUNCT
verzog,verziehen,VERB
sich,sich,PRON
allmählich,allmählich,ADV
die,der,DET
Menge,Menge,NOUN
.,--,PUNCT
Die,der,DET
Soldaten,Soldat,NOUN
zuerst,zuerst,ADV
",",--,PUNCT
nach,nach,ADV
und,und,CCONJ
nach,nach,ADV
die,der,DET
Masse,Masse,NOUN
der,der,DET
Neugierigen,Neugierig,NOUN
",",--,PUNCT
schließlich,schließlich,ADV
auch,auch,ADV
die,der,DET
Jünger,Jünger,NOUN
",",--,PUNCT
zuletzt,zuletzt,ADV
Maria,Maria,PROPN
.,--,PUNCT
Die,der,DET
Leiche,Leiche,NOUN
hat,haben,AUX
man,man,PRON
vom,von,ADP
Kreuz,Kreuz,NOUN
heruntergenommen,heruntergenommen,VERB
.,--,PUNCT
Eine,einer,PRON
der,der,DET
Frauen,Frau,NOUN
hat,haben,AUX
ein,ein,DET
weißes,weiß,ADJ
Tuch,Tuch,NOUN
über,über,ADP
den,der,DET
Körper,Körper,NOUN
gebreitet,breiten,VERB
–,--,PUNCT
den,der,DET
Mantel,Mantel,NOUN
haben,haben,AUX
die,der,DET
Soldaten,Soldat,NOUN
mitgenommen,mitnehmen,VERB
–,--,PUNCT
dann,dann,ADV
hat,haben,AUX
man,man,PRON
sich,sich,PRON
nicht,nicht,PART
weiter,weiter,ADV
um,um,ADP
den,der,DET
Toten,tote,NOUN
gekümmert,kümmern,VERB
.,--,PUNCT
Morgen,morgen,ADV
wird,werden,AUX
er,er,PRON
begraben,begraben,VERB
",",--,PUNCT
die,der,DET
Nacht,Nacht,NOUN
über,über,ADP
kann,können,AUX
er,er,PRON
noch,noch,ADV
im,in,ADP
Freien,freie,NOUN
liegen,liegen,VERB
.,--,PUNCT
Der,der,DET
Soldat,Soldat,NOUN
",",--,PUNCT
den,der,PRON
man,man,PRON
zur,zu,ADP
Wache,Wache,NOUN
zurückließ,zurückließ,VERB
",",--,PUNCT
hat,haben,AUX
sich,sich,PRON
heimlich,heimlich,ADV
fortgestohlen,fortgestohlen,VERB
.,--,PUNCT
Zwei,zwei,NUM
volle,voll,ADJ
Stunden,Stunde,NOUN
dauert,dauern,VERB
es,es,PRON
bis,bis,ADP
zur,zu,ADP
Ablösung,Ablösung,NOUN
.,--,PUNCT
Die,der,DET
Zeit,Zeit,NOUN
kann,können,AUX
man,man,PRON
sich,sich,PRON
besser,gut,ADV
vertreiben,vertreiben,VERB
.,--,PUNCT
–,--,PUNCT
–,--,PUNCT
Schwere,schwere,ADJ
",",--,PUNCT
finstere,finster,ADJ
Wolken,Wolke,NOUN
verdecken,verdecken,VERB
den,der,DET
Himmel,Himmel,NOUN
",",--,PUNCT
Nicht,nicht,PART
einen,ein,DET
Meter,Meter,NOUN
weit,weit,ADV
vermag,vermögen,VERB
das,der,DET
Auge,Auge,NOUN
die,der,DET
Dinge,Ding,NOUN
zu,zu,PART
unterscheiden,unterscheiden,VERB
.,--,PUNCT
Wie,wie,SCONJ
eine,ein,DET
Hand,Hand,NOUN
legt,legen,VERB
sich,sich,PRON
diese,dieser,DET
Dunkelheit,Dunkelheit,NOUN
vor,vor,ADP
die,der,DET
Augen,Auge,NOUN
.,--,PUNCT
Und,und,CCONJ
dabei,dabei,ADV
ist,sein,AUX
es,es,PRON
so,so,ADV
still,still,ADV
",",--,PUNCT
so,so,ADV
grabesstill,grabesstill,ADV
",",--,PUNCT
daß,daß,SCONJ
man,man,PRON
deutlich,deutlich,ADV
das,der,PRON
mühsame,mühsam,ADJ
keuchende,keuchend,ADJ
Atmen,atmen,NOUN
des,der,DET
Menschen,Mensch,NOUN
vernimmt,vernimmen,VERB
",",--,PUNCT
der,der,PRON
wohl,wohl,ADV
noch,noch,ADV
seine,sein,DET
zwanzig,zwanzig,NUM
Schritt,Schritt,NOUN
von,von,ADP
der,der,DET
Richtstätte,Richtstätte,NOUN
entfernt,entfernt,ADV
auf,auf,ADP
dem,der,DET
Bauche,Bauche,NOUN
liegt,liegen,VERB
.,--,PUNCT
Das,der,PRON
ist,sein,AUX
Judas,Judas,PROPN
.,--,PUNCT
Er,er,PRON
hat,haben,AUX
einen,ein,DET
furchtbaren,furchtbar,ADJ
Tag,Tag,NOUN
hinter,hinter,ADP
sich,sich,PRON
.,--,PUNCT
An,an,ADP
der,der,DET
Richtstatt,Richtstatt,NOUN
zu,zu,PART
erscheinen,erscheinen,VERB
",",--,PUNCT
vor,vor,ADP
seinen,sein,DET
Herrn,Herr,NOUN
zu,zu,PART
treten,treten,VERB
",",--,PUNCT
das,der,PRON
hatte,haben,AUX
er,er,PRON
nicht,nicht,PART
wagen,wagen,VERB
dürfen,dürfen,AUX
.,--,PUNCT
Für,für,ADP
ihn,ihn,PRON
hatte,haben,AUX
der,der,DET
große,groß,ADJ
Verzeiher,Verzeiher,NOUN
keine,kein,DET
Verzeihung,Verzeihung,NOUN
.,--,PUNCT
»,--,PUNCT
Verräter,verräter,NOUN
«,--,PUNCT
hatte,haben,AUX
er,er,PRON
ihn,ihn,PRON
genannt,nennen,VERB
.,--,PUNCT
Verräter,Verräter,NOUN
–,--,PUNCT
