lastname,firstname,title,year,volume,ID
Walloth,Wilhelm,Das Schatzhaus des Königs,1883,,Wilhelm_Walloth_-_Das_Schatzhaus_des_Königs_(1883)
Däubler,Theodor,L'Africana,1928,,Theodor_Däubler_-_L'Africana_(1928)
Eyth,Max,Der Schneider von Ulm,1906,,Max_Eyth_-_Der_Schneider_von_Ulm_(1906)
Novalis,,Die Lehrlinge zu Sais,1799,,Novalis_-_Die_Lehrlinge_zu_Sais_(1799)
Wieland,Christoph Martin,Agathodämon,1799,,Christoph_Martin_Wieland_-_Agathodämon_(1799)
Spielhagen,Friedrich,Platt Land,1878,,Friedrich_Spielhagen_-_Platt_Land_(1878)
Stifter,Adalbert,Ein Gang durch die Katakomben,1844,,Adalbert_Stifter_-_Ein_Gang_durch_die_Katakomben_(1844)
Stern,Adolf,Vor Leyden,1866,,Adolf_Stern_-_Vor_Leyden_(1866)
Tieck,Ludwig,Der wiederkehrende griechische Kaiser,1831,,Ludwig_Tieck_-_Der_wiederkehrende_griechische_Kaiser_(1831)
Heer,Jakob Christoph,Der Wetterwart,1905,,Jakob_Christoph_Heer_-_Der_Wetterwart_(1905)
Fischer,Wilhelm,Frauendienst,1898,,Wilhelm_Fischer_-_Frauendienst_(1898)
Kraft,Robert,Detektiv Nobody's Erlebnisse und Reiseabenteuer. 6. Band,1904,,Robert_Kraft_-_Detektiv_Nobody's_Erlebnisse_und_Reiseabenteuer._6._Band_(1904)
Bronner,Franz Xaver,Die belohnte Wohlthat,1794,,Franz_Xaver_Bronner_-_Die_belohnte_Wohlthat_(1794)
Klepper,Jochen,Der Kahn der fröhlichen Leute,1933,,Jochen_Klepper_-_Der_Kahn_der_fröhlichen_Leute_(1933)
Storm,Theodor,Ein Bekenntnis,1887,,Theodor_Storm_-_Ein_Bekenntnis_(1887)
Heiberg,Hermann,Grausam,1896,,Hermann_Heiberg_-_Grausam_(1896)
Dauthendey,Max,Im blauen Licht von Penang,1919,,Max_Dauthendey_-_Im_blauen_Licht_von_Penang_(1919)
Roth,Joseph,Das Spinnennetz,1923,,Joseph_Roth_-_Das_Spinnennetz_(1923)
Schickele,René,"Benkal, der Frauentröster",1914,,"René_Schickele_-_Benkal,_der_Frauentröster_(1914)"
zu Reventlow,Fanny,Das Logierhaus zur schwankenden Weltkugel,1917,,Fanny_zu_Reventlow_-_Das_Logierhaus_zur_schwankenden_Weltkugel_(1917)
Müller,Robert,Das Inselmädchen,1919,,Robert_Müller_-_Das_Inselmädchen_(1919)
Naubert,Benedikte,Conrad und Siegfried von Feuchtwangen,1792,,Benedikte_Naubert_-_Conrad_und_Siegfried_von_Feuchtwangen_(1792)
Hille,Peter,Kinderliebe,1895,,Peter_Hille_-_Kinderliebe_(1895)
Hoefer,Edmund,Die alte Apfelfrau,1855,,Edmund_Hoefer_-_Die_alte_Apfelfrau_(1855)
Stifter,Adalbert,Leben und Haushalt dreier Wiener Studenten,1848,,Adalbert_Stifter_-_Leben_und_Haushalt_dreier_Wiener_Studenten_(1848)
zur Megede,Johannes Richard,Der Ueberkater,1904,Band 1,Johannes_Richard_zur_Megede_-_Der_Ueberkater_-_Band_1_(1904)
Przybyszewski,Stanislaw,Homo Sapiens,1896,,Stanislaw_Przybyszewski_-_Homo_Sapiens_(1896)
Willkomm,Ernst,Im Bann und Zauber. Erster Band,1862,,Ernst_Willkomm_-_Im_Bann_und_Zauber._Erster_Band_(1862)
Stratz,Rudolph,Friede auf Erden!,1897,,Rudolph_Stratz_-_Friede_auf_Erden!_(1897)
Külz,Ludwig,Tropenarzt im Afrikanischen Busch,1906,,Ludwig_Külz_-_Tropenarzt_im_Afrikanischen_Busch_(1906)
Roth,Joseph,Die Flucht ohne Ende,1927,,Joseph_Roth_-_Die_Flucht_ohne_Ende_(1927)
Kürnberger,Ferdinand,Heimlicher Reichtum,1857,,Ferdinand_Kürnberger_-_Heimlicher_Reichtum_(1857)
Stinde,Julius,Die Seerose,1895,,Julius_Stinde_-_Die_Seerose_(1895)
Hoffmann,ETA,Letzte Stücke,1822,,ETA_Hoffmann_-_Letzte_Stücke_(1822)
Nathusius,Marie,Elisabeth – Zweiter Band,1858,,Marie_Nathusius_-_Elisabeth_–_Zweiter_Band_(1858)
von Eichendorff,Joseph,Auch ich war in Arkadien!,1834,,Joseph_von_Eichendorff_-_Auch_ich_war_in_Arkadien!_(1834)
Lamprecht,Jakob Friedrich,Eine arabische Geschichte,1739,,Jakob_Friedrich_Lamprecht_-_Eine_arabische_Geschichte_(1739)
Brachvogel,Albert Emil,Friedemann Bach,1858,,Albert_Emil_Brachvogel_-_Friedemann_Bach_(1858)
Seidl,Johann Gabriel,Arabella von Byrnswack,1842,,Johann_Gabriel_Seidl_-_Arabella_von_Byrnswack_(1842)
Gutzkow,Karl,Die Selbsttaufe,1846,,Karl_Gutzkow_-_Die_Selbsttaufe_(1846)
Friedell,Egon,Die Rückkehr der Zeitmaschine,1946,,Egon_Friedell_-_Die_Rückkehr_der_Zeitmaschine_(1946)
Heiberg,Hermann,Die Raupe,1896,,Hermann_Heiberg_-_Die_Raupe_(1896)
May,Karl,Der beiden Quitzows letzte Fahrten,1877,,Karl_May_-_Der_beiden_Quitzows_letzte_Fahrten_(1877)
Klabund,,Gleichnisse,1928,,Klabund_-_Gleichnisse_(1928)
von Suttner,Bertha,Ermenegildens Flucht,1905,,Bertha_von_Suttner_-_Ermenegildens_Flucht_(1905)
Brentano,Clemens,Die mehreren Wehmüller und ungarischen Nationalgesichter,1817,,Clemens_Brentano_-_Die_mehreren_Wehmüller_und_ungarischen_Nationalgesichter_(1817)
zur Megede,Johannes Richard,Félicie,1900,,Johannes_Richard_zur_Megede_-_Félicie_(1900)
Glauser,Friedrich,Matto regiert,1936,,Friedrich_Glauser_-_Matto_regiert_(1936)
Raabe,Wilhelm,Deutscher Mondschein,1873,,Wilhelm_Raabe_-_Deutscher_Mondschein_(1873)
Riehl,Wilhelm Heinrich,Durch tausend Jahre – Dritter Band,1897,,Wilhelm_Heinrich_Riehl_-_Durch_tausend_Jahre_–_Dritter_Band_(1897)
von Hofmannsthal,Hugo,Der goldene Apfel,1897,,Hugo_von_Hofmannsthal_-_Der_goldene_Apfel_(1897)
Lienert,Meinrad,Das Hochmutsnärrchen,1911,,Meinrad_Lienert_-_Das_Hochmutsnärrchen_(1911)
Reuter,Fritz,Abendteuer des Entspekter Bräsig,1861,,Fritz_Reuter_-_Abendteuer_des_Entspekter_Bräsig_(1861)
Schücking,Levin,Deutsche Eroberungen,1883,,Levin_Schücking_-_Deutsche_Eroberungen_(1883)
Zettl,Zephyrin,Der Mühlsepperl,1901,,Zephyrin_Zettl_-_Der_Mühlsepperl_(1901)
Schumacher,Heinrich Vollrat,Liebe und Leben der Lady Hamilton,1910,,Heinrich_Vollrat_Schumacher_-_Liebe_und_Leben_der_Lady_Hamilton_(1910)
Hollaender,Felix,Sturmwind im Westen,1896,,Felix_Hollaender_-_Sturmwind_im_Westen_(1896)
Steub,Ludwig,Alpenreisen,1888,,Ludwig_Steub_-_Alpenreisen_(1888)
Frahm,Ludwig,Minschen bi Hamborg rüm,1919,,Ludwig_Frahm_-_Minschen_bi_Hamborg_rüm_(1919)
