lastname,firstname,title,year,volume,ID,decade
Baumann,Joseph,Ulli und Elsi,1829,,Joseph_Baumann_-_Ulli_und_Elsi_(1829),1820
Hoffmann,ETA,Lebensansichten des Katers Murr,1820,,ETA_Hoffmann_-_Lebensansichten_des_Katers_Murr_(1820),1820
Clauren,H.,Der selige Papier-Müller,1820,,H._Clauren_-_Der_selige_Papier-Müller_(1820),1820
Hoffmann,ETA,Letzte Stücke,1822,,ETA_Hoffmann_-_Letzte_Stücke_(1822),1820
Hauff,Wilhelm,Phantasien im Bremer Ratskeller,1827,,Wilhelm_Hauff_-_Phantasien_im_Bremer_Ratskeller_(1827),1820
Clauren,H.,Die Großmutter,1827,,H._Clauren_-_Die_Großmutter_(1827),1820
Hoffmann,ETA,Die Serapions-Brüder,1821,,ETA_Hoffmann_-_Die_Serapions-Brüder_(1821),1820
Paul,Jean,Der Maschinenmann,1825,,Jean_Paul_-_Der_Maschinenmann_(1825),1820
von Schmid,Christoph,Der Weihnachtsabend,1825,,Christoph_von_Schmid_-_Der_Weihnachtsabend_(1825),1820
von Schmid,Christoph,Rosa von Tannenburg,1823,,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823),1820
Clauren,H.,Die Gräfin Cherubim,1824,,H._Clauren_-_Die_Gräfin_Cherubim_(1824),1820
Hoffmann,ETA,Des Vetters Eckfenster,1822,,ETA_Hoffmann_-_Des_Vetters_Eckfenster_(1822),1820
Rückert,Friedrich,Die Makamen des Hariri,1826,,Friedrich_Rückert_-_Die_Makamen_des_Hariri_(1826),1820
Contessa,Karl Wilhelm Salice,Die Schatzgräber,1825,,Karl_Wilhelm_Salice_Contessa_-_Die_Schatzgräber_(1825),1820
Zschokke,Heinrich,Der König von Akim,1825,,Heinrich_Zschokke_-_Der_König_von_Akim_(1825),1820
Tieck,Ludwig,Das Fest zu Kenelworth,1828,,Ludwig_Tieck_-_Das_Fest_zu_Kenelworth_(1828),1820
Rochlitz,Friedrich,Amtsbericht des Pfarrers zu Eichengrün,1821,,Friedrich_Rochlitz_-_Amtsbericht_des_Pfarrers_zu_Eichengrün_(1821),1820
Alexis,Willibald,Walladmor,1824,,Willibald_Alexis_-_Walladmor_(1824),1820
Tieck,Ludwig,Die Reisenden,1824,,Ludwig_Tieck_-_Die_Reisenden_(1824),1820
Tieck,Ludwig,Glück giebt Verstand,1826,,Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),1820
Schöll,Adolf,Der arme Stephan,1827,,Adolf_Schöll_-_Der_arme_Stephan_(1827),1820
der Jüngere,Johann Rudolf Wyß,Viel Noth und viel Hülf,1825,,Johann_Rudolf_Wyß_der_Jüngere_-_Viel_Noth_und_viel_Hülf_(1825),1820
von Arnim,Achim,Die Majoratsherren,1820,,Achim_von_Arnim_-_Die_Majoratsherren_(1820),1820
Heun,Karl Gottlieb Samuel,Die Versuchung,1827,,Karl_Gottlieb_Samuel_Heun_-_Die_Versuchung_(1827),1820
Schreyvogel,Joseph,Samuel Brinks letzte Liebesgeschichte,1821,,Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),1820
Tieck,Ludwig,Der fünfzehnte November,1827,,Ludwig_Tieck_-_Der_fünfzehnte_November_(1827),1820
Tieck,Ludwig,Dichterleben,1825,,Ludwig_Tieck_-_Dichterleben_(1825),1820
Paul,Jean,Der Komet,1820,,Jean_Paul_-_Der_Komet_(1820),1820
Spindler,Carl,Der Jude,1827,,Carl_Spindler_-_Der_Jude_(1827),1820
Tieck,Ludwig,Die Verlobung,1823,,Ludwig_Tieck_-_Die_Verlobung_(1823),1820
Tieck,Ludwig,Die Gemälde,1821,,Ludwig_Tieck_-_Die_Gemälde_(1821),1820
von Arnim,Achim,Holländische Liebhabereien,1826,,Achim_von_Arnim_-_Holländische_Liebhabereien_(1826),1820
Grün,Anastasius,Der Eremit auf der Sierra Morena,1827,,Anastasius_Grün_-_Der_Eremit_auf_der_Sierra_Morena_(1827),1820
Spindler,Carl,Der Jesuit,1829,,Carl_Spindler_-_Der_Jesuit_(1829),1820
Contessa,Karl Wilhelm Salice,Vergib uns unsere Schuld,1825,,Karl_Wilhelm_Salice_Contessa_-_Vergib_uns_unsere_Schuld_(1825),1820
Zschokke,Heinrich,Jonathan Frock,1825,,Heinrich_Zschokke_-_Jonathan_Frock_(1825),1820
Zschokke,Heinrich,Das blaue Wunder,1829,,Heinrich_Zschokke_-_Das_blaue_Wunder_(1829),1820
Tieck,Ludwig,Der Aufruhr in den Cevennen,1826,,Ludwig_Tieck_-_Der_Aufruhr_in_den_Cevennen_(1826),1820
der Velde,Carl Franz van,Das Liebhaber-Theater,1824,,Carl_Franz_van_der_Velde_-_Das_Liebhaber-Theater_(1824),1820
Hoffmann,ETA,Die Geheimnisse,1821,Merkwürdige Korrespondenz des Autors mit vers,ETA_Hoffmann_-_Die_Geheimnisse_-_Merkwürdige_Korrespondenz_des_Autors_mit_vers_(1821),1820
von Schmid,Christoph,"Gottfried, der junge Einsiedler",1829,,"Christoph_von_Schmid_-_Gottfried,_der_junge_Einsiedler_(1829)",1820
Hauff,Wilhelm,Novellen,1828,,Wilhelm_Hauff_-_Novellen_(1828),1820
Heine,Heinrich,Reisebilder,1826,,Heinrich_Heine_-_Reisebilder_(1826),1820
Hauff,Wilhelm,Der Mann im Mond,1826,,Wilhelm_Hauff_-_Der_Mann_im_Mond_(1826),1820
Huber,Therese,Alte Zeit und neue Zeit,1828,,Therese_Huber_-_Alte_Zeit_und_neue_Zeit_(1828),1820
von Arnim,Achim,Owen Tudor,1821,,Achim_von_Arnim_-_Owen_Tudor_(1821),1820
von Voß,Julius,Die Moden der guten alten Zeit,1827,,Julius_von_Voß_-_Die_Moden_der_guten_alten_Zeit_(1827),1820
Tieck,Ludwig,Der Geheimnisvolle,1822,,Ludwig_Tieck_-_Der_Geheimnisvolle_(1822),1820
von Eichendorff,Joseph,Aus dem Leben eines Taugenichts,1826,,Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),1820
Rilke,Rainer Maria,Erzählungen aus dem Nachlaß,1826,,Rainer_Maria_Rilke_-_Erzählungen_aus_dem_Nachlaß_(1826),1820
Tieck,Ludwig,Das Zauberschloß,1830,,Ludwig_Tieck_-_Das_Zauberschloß_(1830),1830
Tieck,Ludwig,Der wiederkehrende griechische Kaiser,1831,,Ludwig_Tieck_-_Der_wiederkehrende_griechische_Kaiser_(1831),1830
Immermann,Karl,Der Oberhof,1839,,Karl_Immermann_-_Der_Oberhof_(1839),1830
Heine,Heinrich,Florentinische Nächte,1837,,Heinrich_Heine_-_Florentinische_Nächte_(1837),1830
Immermann,Karl,Der Karneval und die Somnambule,1830,,Karl_Immermann_-_Der_Karneval_und_die_Somnambule_(1830),1830
von Gaudy,Franz,Die Brenta-Blume,1838,,Franz_von_Gaudy_-_Die_Brenta-Blume_(1838),1830
Seidl,Johann Gabriel,Der tödliche Knopf,1839,,Johann_Gabriel_Seidl_-_Der_tödliche_Knopf_(1839),1830
Mörike,Eduard,Maler Nolten,1832,,Eduard_Mörike_-_Maler_Nolten_(1832),1830
Laube,Heinrich,Die Karlisten,1837,,Heinrich_Laube_-_Die_Karlisten_(1837),1830
Mörike,Eduard,Lucie Gelmeroth,1834,,Eduard_Mörike_-_Lucie_Gelmeroth_(1834),1830
Tieck,Ludwig,Der Mondsüchtige,1832,,Ludwig_Tieck_-_Der_Mondsüchtige_(1832),1830
Laube,Heinrich,Das Schloß in Franken,1837,,Heinrich_Laube_-_Das_Schloß_in_Franken_(1837),1830
Tieck,Ludwig,Eine Sommerreise,1834,,Ludwig_Tieck_-_Eine_Sommerreise_(1834),1830
von Ungern-Sternberg,Alexander,Die Zerrissenen,1832,,Alexander_von_Ungern-Sternberg_-_Die_Zerrissenen_(1832),1830
Fröhlich,Abraham Manuel,Der Kinderball,1833,,Abraham_Manuel_Fröhlich_-_Der_Kinderball_(1833),1830
Hebel,Johann Peter,Reise nach Frankfurt,1832,,Johann_Peter_Hebel_-_Reise_nach_Frankfurt_(1832),1830
