ID;Repositorium;Vorname Autor;Nachname Autor;Nationalität;Pseudonym/Anderer Name;Gesamtname Autor;Geburtsjahr;Sterbejahr;Autor:innengender;Titel;Dateiname;verwendetes Datum;Wörter;Typen;norm_year
1;gutenberg;Arthur;Achleitner;Deutschland;;Arthur Achleitner;1858;1927;male;Das Schloß im Moor;Achleitner_Arthur_Das_Schloss_im_Moor;1903;50886;9654;1903
2;gutenberg;Arthur;Achleitner;Deutschland;;Arthur Achleitner;1858;1927;male;Der Finanzer;Achleitner_Arthur_Der_Finanzer;1903;23933;5941;1903
3;gutenberg;Karl;Adolph;Österreich;;Karl Adolph;1869;1931;male;Haus Nummer 37;Adolph_Karl_Haus_Nummer;1908;102735;17038;1908
4;gutenberg;Karl;Adolph;Österreich;;Karl Adolph;1869;1931;male;Schackerl;Adolph_Karl_Schackerl;1912;39838;9266;1912
5;gutenberg;Karl;Adolph;Österreich;;Karl Adolph;1869;1931;male;Töchter;Adolph_Karl_Toechter;1914;87720;15569;1914
6;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Aus dem Tagebuche der edlen Miss Madrilene;Altenberg_Peter_Aus_dem_Tagebuche;1901;1879;769;1901
7;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;"Aus unseren Tränen wird Weisheit; aber aus eurem Lächeln";Altenberg_Peter_Aus_unseren_Traenen;1908;1442;669;1908
8;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;De Libertate;Altenberg_Peter_De_Libertate;1901;1310;654;1901
9;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Der Besuch;Altenberg_Peter_Der_Besuch;1896;1156;557;1896
10;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Der Hofmeister;Altenberg_Peter_Der_Hofmeister;1896;1280;585;1896
11;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Der Revolutionär hat sich eingesponnen;Altenberg_Peter_Der_Revolutionaer;1896;1946;813;1896
12;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Der Revolutionär dichtet;Altenberg_Peter_Der_Revolutionaer_dichtet;1896;1655;672;1896
13;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Die dumme Lise;Altenberg_Peter_Die_dumme_Lise;1901;1728;809;1901
14;textgrid;Peter;Altenberg;Deutschland;;Peter Altenberg;1890;1960;male;Die Primitive;Altenberg_Peter_Die_Primitive;1896;1660;706;1896
